"n_grp","start","end","text","video_id","suffix"
37,113.83,116.36,"fait qu'il fallait être très récidiviste","6IOUEJN6GRI","bfm"
38,116.36,120.029,"pour pouvoir être sanctionné lourdement. Au fond, ça laissait entendre qu'on","6IOUEJN6GRI","bfm"
39,120.029,122.159,"pouvait pendant un temps relativement","6IOUEJN6GRI","bfm"
40,122.159,126.67,"long agir impunément. En tout cas, sans que","6IOUEJN6GRI","bfm"
41,126.67,128.319,"les sanctions ne soient ni rapides ni","6IOUEJN6GRI","bfm"
42,128.319,132.03,"dissuasives. Et donc, les gens qui vont en prison, l'immense majorité des gens","6IOUEJN6GRI","bfm"
43,132.03,133.44,"qui vont en prison, ce sont des gens qui","6IOUEJN6GRI","bfm"
44,133.44,136.75,"ont commis beaucoup beaucoup d'actes. Et alors là, les policiers, les gendarmes","6IOUEJN6GRI","bfm"
45,136.75,138.16,"disent ""N'arrête les personnes, ils vont","6IOUEJN6GRI","bfm"
46,138.16,140.99,"jamais en prison."" Vous connaissez cette formule ? J'étais mise à l'intérieur, je","6IOUEJN6GRI","bfm"
47,140.99,143.16,"l'ai constaté, je l'ai vu. On a des","6IOUEJN6GRI","bfm"
48,143.16,145.83,"juges, des magistrats qui disent ""Mais alors moi, j'ai quelqu'un qui est très","6IOUEJN6GRI","bfm"
49,145.83,147.84,"récidiviste qui a déjà des addictions de","6IOUEJN6GRI","bfm"
50,147.84,151.55,"la drogue et d'alcool, qui est déjà très désocialisé. À quoi ça sert que je mette","6IOUEJN6GRI","bfm"
51,151.55,153.319,"en prison ? Ça va pas arranger sa","6IOUEJN6GRI","bfm"
52,153.319,155.949,"socialisation. S'il a des maladies psychiatriques qui devraient pas aller","6IOUEJN6GRI","bfm"
53,155.949,157.36,"en prison devrait aller ailleurs.","6IOUEJN6GRI","bfm"
54,157.36,159.509,"Ça veut dire que les juges s'autocensure ?","6IOUEJN6GRI","bfm"
55,159.509,161.8,"Non, ça veut dire que les magistrats ont","6IOUEJN6GRI","bfm"
56,161.8,164.63,"malheureusement à six codes pénal qui ne les aident pas. Par exemple, dans dans","6IOUEJN6GRI","bfm"
57,164.63,166.84,"le code pénal, il est écrit que une","6IOUEJN6GRI","bfm"
58,166.84,170.39,"peine c'est égal à 6 mois de prison et autant d'amende","6IOUEJN6GRI","bfm"
59,170.39,171.879,"et il y a dans le même code pénal un","6IOUEJN6GRI","bfm"
60,171.879,174.39,"article qui dit qu'à 6 mois de prison, on fait pas de prison. Il y a un","6IOUEJN6GRI","bfm"
61,174.39,175.8,"aménagement de peine obligatoire.","6IOUEJN6GRI","bfm"
62,175.8,178.27,"Donc tout ça est totalement contradictoire. C'est absurde. Euh, il y","6IOUEJN6GRI","bfm"
63,178.27,179.8,"a des dispositions législatives qui ont","6IOUEJN6GRI","bfm"
64,179.8,184.149,"été rajoutées au fil du temps qui sont absurdes. Aujourd'hui, euh la quasi","6IOUEJN6GRI","bfm"
65,184.149,185.519,"intégralité des personnes qui sont","6IOUEJN6GRI","bfm"
66,185.519,188.71,"condamnées à moins d'un an de prison ne font pas du tout de prison. Alors, le","6IOUEJN6GRI","bfm"
67,188.71,189.599,"projet de loi que je porte,","6IOUEJN6GRI","bfm"
68,189.599,191.869,"ça va changer. Exactement. Il met fin à l'aménagement","6IOUEJN6GRI","bfm"
69,191.869,193.68,"de peine obligatoire. Le juge pourra","6IOUEJN6GRI","bfm"
70,193.68,196.75,"prononcer des courtes peines comme c'est le cas dans d'autres pays. Je pense","6IOUEJN6GRI","bfm"
71,196.75,198.879,"notamment au Pays-Bas ou en Angleterre.","6IOUEJN6GRI","bfm"
72,198.879,201.589,"Les courtes peines, c'est quoi ? C'est des peines d'un mois, 2 mois, 3 mois, 4","6IOUEJN6GRI","bfm"
73,201.589,203.799,"mois de prison. Ce qui compte. Ce n'est","6IOUEJN6GRI","bfm"
74,203.799,208.589,"pas la grandeur de la peine. Ce qui compte, c'est la certitude de la peine.","6IOUEJN6GRI","bfm"
75,208.589,210.4,"C'est d'être certain que au premier ou","6IOUEJN6GRI","bfm"
76,210.4,213.75,"au deuxième fait, en tout cas après un carton jaune, il doit y avoir un carton","6IOUEJN6GRI","bfm"
77,213.75,215.84,"rouge, on puisse avoir une sanction","6IOUEJN6GRI","bfm"
78,215.84,220.229,"claire, rapide qui montre à la victime, à l'accusé, à la société que la justice","6IOUEJN6GRI","bfm"
79,220.229,221.04,"fait quelque chose.","6IOUEJN6GRI","bfm"
80,221.04,225.39,"Donc création de courte peine voire d'ultra courte peine. C'estd que vous","6IOUEJN6GRI","bfm"
81,225.39,226.48,"preniez l'exemple de la Hollande. En","6IOUEJN6GRI","bfm"
82,226.48,229.11,"Hollande, on peut même aller pour quelques jours en prison. On laissera le","6IOUEJN6GRI","bfm"
83,229.11,231.72,"juge totalement libre de fixer euh la","6IOUEJN6GRI","bfm"
84,231.72,235.509,"peine qu'il doit fixer. Et donc en effet, il peut y avoir des peines d'un","6IOUEJN6GRI","bfm"
85,235.509,236.84,"mois. Aujourd'hui, elles sont interdites","6IOUEJN6GRI","bfm"
86,236.84,240.47,"dans le code pénal. C'est tout à fait possible. On va adapter notre immobilier","6IOUEJN6GRI","bfm"
87,240.47,242.04,"carcéral, nos prisons à ça. On va pas","6IOUEJN6GRI","bfm"
88,242.04,244.83,"envoyer les gens qui font 2 mois de prison dans les maisons d'arrêt","6IOUEJN6GRI","bfm"
89,244.83,246.439,"classiques qui sont déjà surpeuplées. On","6IOUEJN6GRI","bfm"
90,246.439,249.35,"aura l'occasion d'en parler. Mais oui, il y aura des courtes peines possibles","6IOUEJN6GRI","bfm"
91,249.35,250.4,"prononcées par le juge.","6IOUEJN6GRI","bfm"
92,250.4,253.949,"Peine obligatoire pour chaque condamnation. C'est-à-dire que chaque","6IOUEJN6GRI","bfm"
93,253.949,256,"condamnation, il y aura une peine","6IOUEJN6GRI","bfm"
94,256,257.55,"aujourd'hui parce que parfois aujourd'hui on peut être condamné sans","6IOUEJN6GRI","bfm"
95,257.55,259.32,"qu'il y ait vraiment de de peine à","6IOUEJN6GRI","bfm"
96,259.32,262.27,"proprement parler. Vous avez tout à fait raison. Ce n'est que quelques centaines","6IOUEJN6GRI","bfm"
97,262.27,264.4,"de cas par an. Il faut pas faire croire","6IOUEJN6GRI","bfm"
98,264.4,267.51,"en français qu'il n'y a aucune peine, mais parfois la peine n'est pas du tout","6IOUEJN6GRI","bfm"
99,267.51,269.4,"proportionnée à la difficulté que nous","6IOUEJN6GRI","bfm"
100,269.4,272.83,"connaissons. Et donc il y a notamment dans le texte de loi que je propose","6IOUEJN6GRI","bfm"
101,272.83,273.96,"quelque chose de très nouveau qui est","6IOUEJN6GRI","bfm"
102,273.96,276.87,"une peine minimale. C'est pas la peine planchée. La peine planchée c'était une","6IOUEJN6GRI","bfm"
103,276.87,278.12,"peine qu'on appliquait quand il y avait","6IOUEJN6GRI","bfm"
104,278.12,281.79,"récidive. Là c'est une peine minimale y compris au premier fait. Et en","6IOUEJN6GRI","bfm"
105,281.79,283.199,"l'occurrence, la première peine minimale","6IOUEJN6GRI","bfm"
106,283.199,285.99,"qu'on propose, c'est tous ceux qui attaquent les policiers, les gendarmes,","6IOUEJN6GRI","bfm"
107,285.99,287.199,"tous ceux qui sont dépositaires de","6IOUEJN6GRI","bfm"
108,287.199,289.79,"l'autorité publique, les agents pénitentiaires, les magistrats, tous","6IOUEJN6GRI","bfm"
109,289.79,291.52,"ceux qui représentent l'autorité. Et ben","6IOUEJN6GRI","bfm"
110,291.52,293.71,"par exemple, c'est une peine minimale. La proposition que je fais dans le texte","6IOUEJN6GRI","bfm"
111,293.71,295.52,"de loi, c'est d'un an, un an de prison.","6IOUEJN6GRI","bfm"
112,295.52,298.99,"Donc, il y aura une peine maximale et une peine minimale et le juge y fixera","6IOUEJN6GRI","bfm"
113,298.99,301.08,"entre cette peine minimale et maximale.","6IOUEJN6GRI","bfm"
114,301.08,303.59,"Il y a aujourd'hui beaucoup d'aménagement d'aménagement pour un","6IOUEJN6GRI","bfm"
115,303.59,305.68,"certain nombre de profils de personnes","6IOUEJN6GRI","bfm"
116,305.68,309.39,"condamnées, notamment pour les OQTF. Est-ce que aujourd'h est-ce que demain","6IOUEJN6GRI","bfm"
117,309.39,311,"vous vous dites il faut quelque chose de","6IOUEJN6GRI","bfm"
118,311,315.71,"spécifique là-dessus ? Est-ce que euh vos expériences, vos premières","6IOUEJN6GRI","bfm"
119,315.71,317.44,"expérience à la fois d'abord pendant","6IOUEJN6GRI","bfm"
120,317.44,320.07,"longtemps au ministère de l'intérieur et aujourd'hui à la justice, vous dites","6IOUEJN6GRI","bfm"
121,320.07,322,"qu'il faut il y a un problème là et","6IOUEJN6GRI","bfm"
122,322,325.59,"qu'il faut le régler. Alors aujourd'hui, il y a 25 % d'étrangers dans nos prisons","6IOUEJN6GRI","bfm"
123,325.59,327.8,"et une partie de ces étrangers doivent","6IOUEJN6GRI","bfm"
124,327.8,331.309,"partir de nos prisons pour purger leurs peines dans leur pays d'origine. Alors,","6IOUEJN6GRI","bfm"
125,331.309,332.56,"nous avons beaucoup augmenté depuis le","6IOUEJN6GRI","bfm"
126,332.56,336.189,"début de l'année, hein, j'ai augmenté de quasiment 100 % les expulsions des","6IOUEJN6GRI","bfm"
127,336.189,338.319,"étrangers qui sont dans nos prisons.","6IOUEJN6GRI","bfm"
128,338.319,342.55,"Euh, il y a une partie d'Européens et il y a 3/4 qui ne sont pas européens. Et","6IOUEJN6GRI","bfm"
129,342.55,344.6,"puis ensuite, il y avait dans notre code","6IOUEJN6GRI","bfm"
130,344.6,348.23,"en effet des choses un peu bizarres. Par exemple, des aménagements de peine, donc","6IOUEJN6GRI","bfm"
131,348.23,349.84,"des sorties de prison possibles pour","6IOUEJN6GRI","bfm"
132,349.84,353.11,"réinsertion. Ça peut très bien se comprendre pour des détenus qui trouvent","6IOUEJN6GRI","bfm"
133,353.11,355,"un travail, qui retrouvent leur famille","6IOUEJN6GRI","bfm"
134,355,358.39,"et qui ont un projet de vie, qui doivent sortir euh de la la prison pour se","6IOUEJN6GRI","bfm"
135,358.39,359.919,"réinsérer. Il faut que nous le fassions.","6IOUEJN6GRI","bfm"
136,359.919,363.11,"La réinsertion, c'est très important. Simplement quelqu'un qui est sous EQTF","6IOUEJN6GRI","bfm"
137,363.11,363.96,"qui devrait pas être sur notre","6IOUEJN6GRI","bfm"
138,363.96,365.39,"territoire national. Non, mais attendez, vous êtes en train","6IOUEJN6GRI","bfm"
139,365.39,366.84,"de me dire que ça s'appliquait aux UQTF.","6IOUEJN6GRI","bfm"
140,366.84,370.71,"Exactement. Dans la loi aujourd'hui, les agents pénitentiaires Exactement. Les","6IOUEJN6GRI","bfm"
141,370.71,372.56,"agents pénitentiaires, les magistrats","6IOUEJN6GRI","bfm"
142,372.56,375.27,"sont obligés d'appliquer la loi qui était mal écrite, c'est tout. C'est","6IOUEJN6GRI","bfm"
143,375.27,376.44,"comme ça, il faut la changer, c'est pas","6IOUEJN6GRI","bfm"
144,376.44,381.07,"de leur faute. Faisait des aménagements de peine pour des EQTF alors que ces","6IOUEJN6GRI","bfm"
145,381.07,382.319,"aménagements de peine, la seule","6IOUEJN6GRI","bfm"
146,382.319,385.189,"aménagement de peine possible pour un EQTF, c'est qu'il soit expulsé. Moi, je","6IOUEJN6GRI","bfm"
147,385.189,386.52,"suis d'accord pour que les EQTF sortent","6IOUEJN6GRI","bfm"
148,386.52,389.27,"de prison s'ils sont expulsés dans leur pays d'origine,","6IOUEJN6GRI","bfm"
149,389.27,390.88,"mais pas pour retrouver un travail ou","6IOUEJN6GRI","bfm"
150,390.88,394.43,"pour retrouver une famille qu'il ne devrait pas retrouver puisqu'ils sont","6IOUEJN6GRI","bfm"
151,394.43,395.72,"étrangers en situation irrégulière et","6IOUEJN6GRI","bfm"
152,395.72,397.749,"qu'ils ont été condamnés. Vous venez de dire Géral de Darmanin","6IOUEJN6GRI","bfm"
153,397.749,400.039,"qu'il y avait 25 % d'étrangers dans nos","6IOUEJN6GRI","bfm"
154,400.039,404.15,"prisons dont les trois/4 de ces étrangers extraint européens. Est-ce que","6IOUEJN6GRI","bfm"
155,404.15,406.08,"comme certains, vous estimez qu'il y a","6IOUEJN6GRI","bfm"
156,406.08,409.189,"une relation entre immigration et délinquence ?","6IOUEJN6GRI","bfm"
157,409.189,411.12,"Ah, il y a une partie de relation entre","6IOUEJN6GRI","bfm"
158,411.12,414.87,"immigration et délinquence. Tous les étrangers évidemment ne sont pas","6IOUEJN6GRI","bfm"
159,414.87,416.599,"délinquants. L'immense majorité d'entre","6IOUEJN6GRI","bfm"
160,416.599,419.589,"eux respectent notre pays, travaillent, envoient leurs enfants à l'école,","6IOUEJN6GRI","bfm"
161,419.589,421.759,"veulent mieux vivre. Mais les étrangers","6IOUEJN6GRI","bfm"
162,421.759,426.15,"sont surreprésentés euh dans la délinquence française. Mais ça euh j'ai","6IOUEJN6GRI","bfm"
163,426.15,427.24,"non seulement été ministre intérieur,","6IOUEJN6GRI","bfm"
164,427.24,431.43,"mais j'ai été maire et et le maire de ma commune et même citoyen. Le citoyen voit","6IOUEJN6GRI","bfm"
165,431.43,433.36,"bien euh qu'il y a par une mauvaise","6IOUEJN6GRI","bfm"
166,433.36,436.39,"intégration, par des difficultés euh extrêmement fortes qui sont liées","6IOUEJN6GRI","bfm"
167,436.39,437.96,"parfois à la pauvreté, parfois au trafic","6IOUEJN6GRI","bfm"
168,437.96,442.23,"de drogue, parfois au trafic d'êtres humain. Les étrangers sont plus auteurs","6IOUEJN6GRI","bfm"
169,442.23,443.639,"que les autres d'actes de délinquence.","6IOUEJN6GRI","bfm"
170,443.639,446.749,"Ils sont aussi plus victimes que les autres d'actes de délinquence. Par","6IOUEJN6GRI","bfm"
171,446.749,448.16,"exemple, les femmes étrangères sont plus","6IOUEJN6GRI","bfm"
172,448.16,452.749,"victimes de violence que les femmes qui sont françaises, même s'il y a beaucoup","6IOUEJN6GRI","bfm"
173,452.749,453.919,"de femmes françaises qui sont victimes","6IOUEJN6GRI","bfm"
174,453.919,458.07,"de violence. Donc oui, il y a un certain lien euh qu'il faut combattre et","6IOUEJN6GRI","bfm"
175,458.07,459.479,"notamment par une immigration beaucoup","6IOUEJN6GRI","bfm"
176,459.479,462.67,"mieux contrôlée et beaucoup mieux intégrée et surtout une justice plus","6IOUEJN6GRI","bfm"
177,462.67,464.759,"ferme avec les étrangers qui commettent","6IOUEJN6GRI","bfm"
178,464.759,467.27,"des actes de délinquence. Une justice plus ferme. On va revenir","6IOUEJN6GRI","bfm"
179,467.27,469.12,"aussi à la question du narcotrafic. Vous","6IOUEJN6GRI","bfm"
180,469.12,474.149,"voulez que le régime contre les narcotrafic soit proche de celui des","6IOUEJN6GRI","bfm"
181,474.149,475.759,"terroristes, mais vous avez évoqué la","6IOUEJN6GRI","bfm"
182,475.759,479.35,"question des lieux dans lesquels ces gens sont incarcérés. Et récemment, il y","6IOUEJN6GRI","bfm"
183,479.35,481.319,"a eu aussi la la question de ce qu'il se","6IOUEJN6GRI","bfm"
184,481.319,485.23,"passe à l'intérieur des prisons. Est-ce que ces prisons sont désormais des états","6IOUEJN6GRI","bfm"
185,485.23,486.919,"de non droit ? Je voudrais que vous","6IOUEJN6GRI","bfm"
186,486.919,489.67,"puissiez regarder ce document. Je vais le commenter évidemment pour ceux qui","6IOUEJN6GRI","bfm"
187,489.67,492.8,"nous écoutent sur RMC. Cette vidéo que","6IOUEJN6GRI","bfm"
188,492.8,498.11,"BFM TV s'est procurée, elle a été tournée le 9 novembre dernier. C'est une","6IOUEJN6GRI","bfm"
189,498.11,501,"scène d'une violence inouie qui se passe","6IOUEJN6GRI","bfm"
190,501,505.39,"au sein de la prison de Nantes. On y voit un détenu entièrement nu,","6IOUEJN6GRI","bfm"
191,505.39,508.199,"ensanglanté, traîné sur le bitume de la","6IOUEJN6GRI","bfm"
192,508.199,511.869,"cour intérieure de la prison. En réalité, c'était deux groupes de détenus","6IOUEJN6GRI","bfm"
193,511.869,514.88,"qui se battaient lors d'une promenade et","6IOUEJN6GRI","bfm"
194,514.88,521.829,"pourtant aucun gardien n'est intervenu parce qu'ils ont considéré que c'était","6IOUEJN6GRI","bfm"
195,521.829,523.919,"trop dangereux quand les gardiens","6IOUEJN6GRI","bfm"
196,523.919,529.509,"eux-mêmes ne peuvent même plus intervenir alors qu'on est au sein d'un","6IOUEJN6GRI","bfm"
197,529.509,531.8,"lieu qui est un lieu normalement dans","6IOUEJN6GRI","bfm"
198,531.8,534.829,"lequel on fait régner la loi. Oui, il faut rétablir l'ordre dans nos","6IOUEJN6GRI","bfm"
199,534.829,536.959,"prisons. incontestable et ça fait 11","6IOUEJN6GRI","bfm"
200,536.959,539.949,"mois que je suis ministre de la justice et que j'essaie de le faire et je pense","6IOUEJN6GRI","bfm"
201,539.949,541.6,"avec une certaine réussite. D'abord les","6IOUEJN6GRI","bfm"
202,541.6,546.43,"prisons de haute sécurité qu'on a construite en 5 mois. En 5 mois, on a su","6IOUEJN6GRI","bfm"
203,546.43,547.72,"faire en France des prisons que","6IOUEJN6GRI","bfm"
204,547.72,550.67,"d'ailleurs les étrangers viennent visiter qui montrent qu'il n'y a pas de","6IOUEJN6GRI","bfm"
205,550.67,552.76,"téléphone portable, pas de drogue, pas","6IOUEJN6GRI","bfm"
206,552.76,557.11,"de clé USB pour les gens les plus dangereux, ceux qui sont capables de","6IOUEJN6GRI","bfm"
207,557.11,558.8,"s'évader, de commander des assassinats","6IOUEJN6GRI","bfm"
208,558.8,561.71,"et notamment une grande partie des narcotrafiquants à la suite de l'affaire","6IOUEJN6GRI","bfm"
209,561.71,563.68,"Amra. Moi, je veux regarder les victimes","6IOUEJN6GRI","bfm"
210,563.68,567.069,"de la Feramra dans les yeux et leur dire que je peux faire, j'ai fait des choses","6IOUEJN6GRI","bfm"
211,567.069,568.24,"pour la sécurité des agents","6IOUEJN6GRI","bfm"
212,568.24,570.949,"pénitenciiaires et des Français. Mais il y a tout le reste, toutes les autres","6IOUEJN6GRI","bfm"
213,570.949,572.56,"prisons où on sait que le téléphone","6IOUEJN6GRI","bfm"
214,572.56,578.75,"portable, le cheat, des couteaux par drone, par le parloir, par corruption","6IOUEJN6GRI","bfm"
215,578.75,580.839,"aussi rentre. Euh là, nous faisons des","6IOUEJN6GRI","bfm"
216,580.839,583.59,"fouilles en ce moment qui n'avaient jamais été faites de cette ampleur dans","6IOUEJN6GRI","bfm"
217,583.59,585.56,"les prisons. On a 80 fouilles, on a","6IOUEJN6GRI","bfm"
218,585.56,587.87,"encore euh une centaine de prisons à fouiller.","6IOUEJN6GRI","bfm"
219,587.87,589.64,"Ces fameuses fouilles XL, j'y reviens","6IOUEJN6GRI","bfm"
220,589.64,592.99,"dans un instant, mais sur sur ces images, quand vous les avez découvertes,","6IOUEJN6GRI","bfm"
221,592.99,594.64,"j'imagine que vous les aviez euh avant","6IOUEJN6GRI","bfm"
222,594.64,599.069,"que nous euh à BFM TV nous ne les ayons, mais elles sont saisissantes parce qu'on","6IOUEJN6GRI","bfm"
223,599.069,600.48,"se dit au fond, ça c'est au sein d'une","6IOUEJN6GRI","bfm"
224,600.48,602.75,"prison si les gardiens eux-mêmes ne peuvent pas intervenir. ne me","6IOUEJN6GRI","bfm"
225,602.75,604.48,"surprennent pas vraiment puisque c'est","6IOUEJN6GRI","bfm"
226,604.48,607.47,"le cocktail affreux de il manque des agents pénitentiaires, moi j'en rajoute","6IOUEJN6GRI","bfm"
227,607.47,609.36,"1000 au prochain budget, il manque 4000","6IOUEJN6GRI","bfm"
228,609.36,612.23,"agents pénitentiaires dans nos prisons. Donc c'est des gens très courageux mais","6IOUEJN6GRI","bfm"
229,612.23,614,"ils sont pas assez nombreux. Donc moi je","6IOUEJN6GRI","bfm"
230,614,616.99,"les comprends très bien qu'ils aient aussi parfois peur et moi je veux les","6IOUEJN6GRI","bfm"
231,616.99,618.279,"soutenir et l'année prochaine il y a","6IOUEJN6GRI","bfm"
232,618.279,621.31,"1000 agences supplémentaires de plus s'il est voté enfin ça j'y reviendrai","6IOUEJN6GRI","bfm"
233,621.31,624.24,"mais moi je je crois que voyez devant","6IOUEJN6GRI","bfm"
234,624.24,627.509,"les difficultés que notre pays a on peut pas se priver de policiers de gendarme","6IOUEJN6GRI","bfm"
235,627.509,628.839,"d'agents péniteniaires ou de magistrat","6IOUEJN6GRI","bfm"
236,628.839,631.15,"l'année prochaine il y a 1000 agents supplémentaires de plus nous","6IOUEJN6GRI","bfm"
237,631.15,633.399,"construisons désormais 3000 places de","6IOUEJN6GRI","bfm"
238,633.399,637.99,"prison par an reconstruction de place de prison qui avait été en partie arrêtée","6IOUEJN6GRI","bfm"
239,637.99,639.44,"et nous manque compte place de prison en","6IOUEJN6GRI","bfm"
240,639.44,644.389,"France il y a 86000 détenus 65000 places grosso modo Et troisièmement, il y a","6IOUEJN6GRI","bfm"
241,644.389,646.04,"dans nos prisons beaucoup de gens qui","6IOUEJN6GRI","bfm"
242,646.04,648.629,"devraient pas y être non plus. C'est-à-dire, je pense aux gens qui sont","6IOUEJN6GRI","bfm"
243,648.629,650.279,"atteints psychiatriquement. 25 % des","6IOUEJN6GRI","bfm"
244,650.279,655.03,"détenus ont des maladie psychiatrique avant même de rentrer ou qui développ","6IOUEJN6GRI","bfm"
245,655.03,656.079,"évidemment une fois qu'ils sont en","6IOUEJN6GRI","bfm"
246,656.079,661.75,"prison une cellule de 9 m² n'arrange pas votre pathologie. Mais 25 % des gens qui","6IOUEJN6GRI","bfm"
247,661.75,663.12,"sont emprisonnés","6IOUEJN6GRI","bfm"
248,663.12,666.19,"sont touchés par une maladie psychiatrique. Ils ne devraient pas y","6IOUEJN6GRI","bfm"
249,666.19,667.519,"être. Ils devraient être en hôpital","6IOUEJN6GRI","bfm"
250,667.519,670.79,"psychiatrique. Et donc les agents pénitentiaires, la prison gère toutes","6IOUEJN6GRI","bfm"
251,670.79,673.8,"les difficultés de la France empire. euh","6IOUEJN6GRI","bfm"
252,673.8,676.949,"l'inalphabétisation, les addictions à la drogue et à l'alcool","6IOUEJN6GRI","bfm"
253,676.949,679.079,"très importante et des maladies","6IOUEJN6GRI","bfm"
254,679.079,681.47,"psychiatriques ou une mauvaise intégration des étrangers.","6IOUEJN6GRI","bfm"
255,681.47,683.24,"Vous venez de parler de ces fouilles.","6IOUEJN6GRI","bfm"
256,683.24,688.03,"Euh BFMTV et RMC ont d'ailleurs pu assister ces derniers jours à un certain","6IOUEJN6GRI","bfm"
257,688.03,690.24,"nombre de de ces fouilles. Fouille","6IOUEJN6GRI","bfm"
258,690.24,694.47,"objectif zéro portable. Ça a duré encore cette nuit. Est-ce que vous avez un","6IOUEJN6GRI","bfm"
259,694.47,695.6,"premier bilan à nous faire de ce que","6IOUEJN6GRI","bfm"
260,695.6,698.949,"vous avez trouvé dans ces cellules ? Oui, donc euh sur ces ces grandes","6IOUEJN6GRI","bfm"
261,698.949,700.399,"fouilles que nous organisons avec des","6IOUEJN6GRI","bfm"
262,700.399,703.35,"centaines d'agents de la police la gendarmerie les douanes que je remercie","6IOUEJN6GRI","bfm"
263,703.35,704.839,"avec des chiens qui viennent regarder si","6IOUEJN6GRI","bfm"
264,704.839,708.829,"on trouve des téléphone portable ou de l'argent ou de la drogue. Sur les 80","6IOUEJN6GRI","bfm"
265,708.829,709.88,"premières prisons que nous avons","6IOUEJN6GRI","bfm"
266,709.88,714.389,"fouilli, en à peu près 200 en France, on a trouvé 1100 portables, quasiment 10 kg","6IOUEJN6GRI","bfm"
267,714.389,717.36,"de drogue et à peu près 1500 objets","6IOUEJN6GRI","bfm"
268,717.36,721.43,"interdits. Je pense à des couteaux par exemple ou à des","6IOUEJN6GRI","bfm"
269,721.43,722.92,"objets électroniques hein. J'ai j'ai vu","6IOUEJN6GRI","bfm"
